APY,APY_BASE,APY_REWARD,TVL,DATE
4.15852,4.15852,,1647539209,2023-01-16T23:01:14.615Z
4.62934,4.62934,,1644386539,2023-01-17T23:01:14.333Z
4.14532,4.14532,,1596923234,2023-01-18T23:01:16.472Z
4.51763,4.51763,,1623347826,2023-01-19T23:01:25.046Z
4.82405,4.82405,,1745468827,2023-01-20T23:01:36.501Z
4.34687,4.34687,,1748584383,2023-01-21T23:01:19.255Z
4.03617,4.03617,,1720785193,2023-01-22T23:01:27.016Z
4.56467,4.56467,,1725997284,2023-01-23T23:23:37.543Z
4.84636,4.84636,,1663427480,2023-01-24T23:12:18.046Z
4.03255,4.03255,,1686816609,2023-01-25T23:12:23.395Z
4.4474,4.4474,,1706747010,2023-01-26T23:01:37.022Z
3.84111,3.84111,,1695056608,2023-01-27T23:01:11.837Z
4.34051,4.34051,,1673155098,2023-01-28T23:01:18.335Z
4.67497,4.67497,,1753810449,2023-01-29T23:12:18.799Z
3.80201,3.80201,,1665816187,2023-01-30T23:01:19.493Z
3.84978,3.84978,,1696869431,2023-01-31T23:01:24.806Z
3.85366,3.85366,,1762723280,2023-02-01T21:12:16.220Z
4.5258,4.5258,,1789502880,2023-02-02T23:01:30.401Z
4.84897,4.84897,,1795518858,2023-02-03T23:01:17.923Z
4.13259,4.13259,,1815768055,2023-02-04T23:01:17.459Z
4.06804,4.06804,,1767188048,2023-02-05T23:01:30.619Z
3.83971,3.83971,,1767942534,2023-02-06T23:01:31.229Z
4.18823,4.18823,,1799986787,2023-02-07T23:12:29.613Z
4.56477,4.56477,,1790294652,2023-02-08T23:01:30.837Z
4.87453,4.87453,,1671964052,2023-02-09T23:01:29.742Z
5.38637,5.38637,,1655561689,2023-02-10T23:12:31.585Z
4.17043,4.17043,,1686008253,2023-02-11T23:23:25.827Z
3.86126,3.86126,,1657089176,2023-02-12T23:01:23.011Z
4.33838,4.33838,,1636108727,2023-02-13T23:12:10.479Z
4.30119,4.30119,,1705028564,2023-02-14T23:12:07.154Z
4.22858,4.22858,,1830622500,2023-02-15T23:01:26.751Z
4.43721,4.43721,,1843405374,2023-02-16T22:12:15.456Z
4.36048,4.36048,,1871016430,2023-02-17T23:01:10.966Z
4.36001,4.36001,,1870860015,2023-02-18T23:23:15.150Z
4.18693,4.18693,,1863227872,2023-02-19T23:12:19.017Z
4.77966,4.77966,,1874844320,2023-02-20T23:01:08.850Z
4.60981,4.60981,,1821865262,2023-02-21T22:01:29.254Z
4.12861,4.12861,,1809929651,2023-02-22T23:01:17.516Z
4.38564,4.38564,,1822813221,2023-02-23T23:01:19.952Z
4.29468,4.29468,,1780080499,2023-02-24T23:02:03.560Z
4.50876,4.50876,,1764303736,2023-02-25T23:01:30.235Z
3.64007,3.64007,,1817693967,2023-02-26T23:12:18.925Z
3.95755,3.95755,,1817717160,2023-02-27T23:12:10.539Z
3.97672,3.97672,,1794992190,2023-02-28T23:01:22.586Z
4.34248,4.34248,,1842445325,2023-03-01T23:01:11.139Z
4.43768,4.43768,,1853069959,2023-03-02T23:01:07.693Z
4.41217,4.41217,,1758209276,2023-03-03T23:11:58.634Z
4.04844,4.04844,,1757035391,2023-03-04T23:01:25.881Z
4.03126,4.03126,,1759356626,2023-03-05T23:01:24.282Z
3.90184,3.90184,,1765681869,2023-03-06T23:12:12.671Z
4.38893,4.38893,,1749302300,2023-03-07T23:23:21.552Z
3.75247,3.75247,,1757694205,2023-03-08T23:01:30.970Z
3.90705,3.90705,,1620259164,2023-03-09T23:01:30.949Z
3.86251,3.86251,,1614175077,2023-03-10T23:23:30.253Z
12.91322,12.91322,,1657754076,2023-03-11T23:01:35.115Z
5.17138,5.17138,,1783537995,2023-03-12T23:23:16.032Z
8.53765,8.53765,,1916988522,2023-03-13T23:01:48.084Z
4.85983,4.85983,,1940627543,2023-03-14T23:01:41.964Z
4.44416,4.44416,,1893211838,2023-03-15T23:01:14.842Z
4.07641,4.07641,,1924637968,2023-03-16T23:01:10.988Z
3.76185,3.76185,,2049057519,2023-03-17T23:01:23.581Z
3.9462,3.9462,,2047250476,2023-03-18T23:01:34.247Z
3.78468,3.78468,,2104113719,2023-03-19T23:01:30.511Z
3.97851,3.97851,,2051084087,2023-03-20T23:01:28.136Z
3.82126,3.82126,,2097444875,2023-03-21T23:01:32.846Z
3.73815,3.73815,,2022535507,2023-03-22T23:01:13.604Z
3.8781,3.8781,,2119707035,2023-03-23T23:01:24.776Z
3.9106,3.9106,,2048144210,2023-03-24T23:01:26.164Z
3.94438,3.94438,,2046842263,2023-03-25T23:01:43.097Z
4.15039,4.15039,,2080527305,2023-03-26T23:01:18.950Z
4.07423,4.07423,,2004277978,2023-03-27T23:01:23.826Z
4.49657,4.49657,,2074318559,2023-03-28T23:01:28.450Z
4.08244,4.08244,,2100468449,2023-03-29T23:01:38.024Z
3.9309,3.9309,,2097144716,2023-03-30T23:01:25.137Z
3.29774,3.29774,,2150401592,2023-03-31T23:01:15.811Z
4.03844,4.03844,,2150951267,2023-04-01T23:01:25.343Z
3.98876,3.98876,,2113802839,2023-04-02T23:01:35.754Z
3.40613,3.40613,,2133226041,2023-04-03T23:01:10.744Z
4.05531,4.05531,,2206440335,2023-04-04T23:01:09.583Z
3.71263,3.71263,,2262919715,2023-04-05T23:01:27.471Z
3.36699,3.36699,,2218881892,2023-04-06T23:01:47.692Z
3.42876,3.42876,,2220892664,2023-04-07T23:01:34.398Z
3.37286,3.37286,,2204003718,2023-04-08T23:01:36.727Z
3.33127,3.33127,,2225803319,2023-04-09T23:01:44.188Z
3.4029,3.4029,,2273226003,2023-04-10T23:01:27.453Z
3.52098,3.52098,,2259467530,2023-04-11T23:01:42.379Z
4.32875,4.32875,,2281965351,2023-04-12T23:01:35.979Z
3.74699,3.74699,,2316984458,2023-04-13T23:01:51.031Z
