APY,APY_BASE,APY_REWARD,TVL,DATE
4.4297,4.4297,,567541181,2023-01-16T23:02:00.705Z
4.43662,4.43662,,569041332,2023-01-17T23:02:06.680Z
4.29211,4.29211,,554654937,2023-01-18T23:02:10.232Z
4.59713,4.59713,,564710310,2023-01-19T23:02:08.660Z
4.80261,4.80261,,604370848,2023-01-20T23:01:43.288Z
4.68479,4.68479,,608526076,2023-01-21T23:01:58.136Z
4.66088,4.66088,,607720131,2023-01-22T17:01:51.639Z
4.65607,4.65607,,604792046,2023-01-23T23:02:00.610Z
4.52803,4.52803,,585200707,2023-01-24T23:02:04.174Z
4.41449,4.41449,,590890773,2023-01-25T23:01:57.820Z
4.48481,4.48481,,604432976,2023-01-26T23:02:02.234Z
4.49224,4.49224,,602061726,2023-01-27T23:01:55.269Z
4.50653,4.50653,,594351373,2023-01-28T23:02:00.395Z
4.46786,4.46786,,623683103,2023-01-29T23:02:06.284Z
4.39084,4.39084,,593697783,2023-01-30T23:01:54.118Z
4.36544,4.36544,,601837365,2023-01-31T23:01:57.695Z
4.1883,4.1883,,626096613,2023-02-01T23:24:04.654Z
4.21152,4.21152,,634070009,2023-02-02T23:02:06.515Z
4.50316,4.50316,,637554646,2023-02-03T23:02:05.228Z
4.7252,4.7252,,647823243,2023-02-04T23:02:07.149Z
4.85814,4.85814,,631212259,2023-02-05T23:01:47.900Z
4.92983,4.92983,,632565749,2023-02-06T23:02:17.086Z
4.85625,4.85625,,645456870,2023-02-07T23:02:01.676Z
4.84196,4.84196,,642781574,2023-02-08T23:02:11.230Z
4.67973,4.67973,,601051914,2023-02-09T23:02:15.312Z
4.54459,4.54459,,591343610,2023-02-10T23:02:04.042Z
4.5653,4.5653,,609219236,2023-02-11T23:02:04.769Z
4.48733,4.48733,,602496209,2023-02-12T23:02:03.384Z
4.50672,4.50672,,599482050,2023-02-13T23:01:45.124Z
4.48429,4.48429,,625742773,2023-02-14T23:01:45.829Z
4.41409,4.41409,,674060243,2023-02-15T23:01:54.720Z
4.52171,4.52171,,668299327,2023-02-16T23:02:03.191Z
4.54889,4.54889,,688391086,2023-02-17T23:12:46.821Z
4.76229,4.76229,,688754225,2023-02-18T23:01:59.423Z
4.78659,4.78659,,690034525,2023-02-19T23:02:02.491Z
4.70051,4.70051,,697122125,2023-02-20T23:01:53.333Z
4.69854,4.69854,,680367958,2023-02-21T23:01:54.186Z
4.54571,4.54571,,675576985,2023-02-22T23:01:57.665Z
4.50535,4.50535,,680943026,2023-02-23T23:01:49.891Z
4.32883,4.32883,,668423782,2023-02-24T23:02:06.500Z
4.26301,4.26301,,663396708,2023-02-25T23:02:06.770Z
4.33803,4.33803,,683642921,2023-02-26T23:01:40.111Z
4.29622,4.29622,,687293823,2023-02-27T23:01:52.459Z
4.26779,4.26779,,676287632,2023-02-28T23:01:48.208Z
4.26108,4.26108,,697001144,2023-03-01T23:02:05.910Z
4.27967,4.27967,,699537246,2023-03-02T23:01:56.906Z
4.29096,4.29096,,665225453,2023-03-03T23:01:50.842Z
4.32106,4.32106,,665181183,2023-03-04T23:02:00.423Z
4.37896,4.37896,,666421798,2023-03-05T23:02:10.590Z
4.32477,4.32477,,668924073,2023-03-06T23:01:51.942Z
4.36221,4.36221,,662549840,2023-03-07T23:13:08.067Z
4.31421,4.31421,,667456920,2023-03-08T23:01:58.972Z
4.32296,4.32296,,618846547,2023-03-09T23:02:06.716Z
4.19182,4.19182,,614715019,2023-03-10T23:12:52.284Z
4.25307,4.25307,,630839328,2023-03-11T23:23:50.868Z
5.58851,5.58851,,677459130,2023-03-12T23:23:40.724Z
5.56053,5.56053,,728518702,2023-03-13T23:02:36.024Z
5.81853,5.81853,,737572644,2023-03-14T23:02:15.626Z
6.29342,6.29342,,725020433,2023-03-15T23:02:10.991Z
5.96917,5.96917,,734962697,2023-03-16T23:02:15.721Z
5.96905,5.96905,,781170632,2023-03-17T23:02:06.159Z
5.94973,5.94973,,780773872,2023-03-18T23:02:15.741Z
4.92037,4.92037,,796245430,2023-03-19T23:02:01.090Z
4.7798,4.7798,,778302401,2023-03-20T23:02:11.556Z
4.61938,4.61938,,795780351,2023-03-21T23:02:13.371Z
4.6133,4.6133,,767045498,2023-03-22T23:02:08.800Z
4.3899,4.3899,,803171046,2023-03-23T23:02:13.864Z
4.12752,4.12752,,775817585,2023-03-24T23:02:07.608Z
4.10981,4.10981,,775126874,2023-03-25T23:02:11.894Z
4.11874,4.11874,,787184965,2023-03-26T23:02:24.120Z
3.93268,3.93268,,759450125,2023-03-27T23:02:22.377Z
3.908,3.908,,785247575,2023-03-28T23:02:25.014Z
4.03897,4.03897,,794848948,2023-03-29T23:02:10.878Z
4.03897,4.03897,,793620419,2023-03-30T23:02:03.327Z
4.01185,4.01185,,813482925,2023-03-31T23:02:28.382Z
4.16241,4.16241,,814569697,2023-04-01T23:02:03.246Z
4.00993,4.00993,,799770095,2023-04-02T23:02:11.582Z
3.99597,3.99597,,806584335,2023-04-03T23:02:24.657Z
3.82985,3.82985,,834229344,2023-04-04T23:02:12.406Z
