APY,APY_BASE,APY_REWARD,TVL,DATE
6.69712,6.69712,,99126497,2023-01-16T23:01:30.872Z
6.63357,6.63357,,100478452,2023-01-17T23:01:13.814Z
6.34158,6.34158,,99861477,2023-01-18T23:01:15.432Z
9.24132,9.24132,,102131970,2023-01-19T23:01:31.115Z
8.52709,8.52709,,113626397,2023-01-20T23:01:32.855Z
8.12144,8.12144,,117572037,2023-01-21T23:01:26.140Z
8.09446,8.09446,,116705081,2023-01-22T23:01:32.456Z
7.9592,7.9592,,119874412,2023-01-23T23:01:28.611Z
7.61895,7.61895,,118106592,2023-01-24T23:02:15.268Z
7.55289,7.55289,,120214405,2023-01-25T23:01:16.366Z
7.74383,7.74383,,124357378,2023-01-26T23:01:26.544Z
7.61836,7.61836,,125493051,2023-01-27T23:01:35.067Z
7.52284,7.52284,,124522974,2023-01-28T23:01:18.621Z
7.26703,7.26703,,132731458,2023-01-29T23:01:32.745Z
7.18203,7.18203,,126764996,2023-01-30T23:01:25.672Z
7.16815,7.16815,,128519781,2023-01-31T23:01:29.926Z
7.05524,7.05524,,134977099,2023-02-01T23:01:50.505Z
7.6055,7.6055,,139806223,2023-02-02T23:01:25.967Z
7.62349,7.62349,,140694951,2023-02-03T23:01:22.464Z
7.57876,7.57876,,142905242,2023-02-04T23:01:36.408Z
7.38319,7.38319,,141084170,2023-02-05T23:01:54.295Z
7.38182,7.38182,,142464908,2023-02-06T23:01:32.073Z
7.23954,7.23954,,146298670,2023-02-07T23:01:29.458Z
6.74486,6.74486,,151814617,2023-02-08T23:01:40.342Z
6.961,6.961,,142829996,2023-02-09T23:01:32.107Z
6.91222,6.91222,,141472792,2023-02-10T23:01:18.853Z
6.89762,6.89762,,145901601,2023-02-11T23:01:41.962Z
6.91709,6.91709,,143756066,2023-02-12T23:01:34.982Z
6.96095,6.96095,,141789988,2023-02-13T23:01:37.218Z
6.94705,6.94705,,147922664,2023-02-14T23:01:32.519Z
6.9138,6.9138,,160377506,2023-02-15T23:01:15.397Z
8.06941,8.06941,,159749514,2023-02-16T23:01:24.102Z
7.87204,7.87204,,166286085,2023-02-17T23:01:19.547Z
7.65451,7.65451,,166684534,2023-02-18T23:01:20.696Z
7.62601,7.62601,,166806571,2023-02-19T23:01:32.649Z
7.38022,7.38022,,171077858,2023-02-20T23:01:30.898Z
7.59399,7.59399,,167140703,2023-02-21T23:01:31.799Z
7.50804,7.50804,,166933095,2023-02-22T23:01:32.062Z
8.57282,8.57282,,168391934,2023-02-23T23:01:28.094Z
8.46118,8.46118,,165043895,2023-02-24T23:01:25.921Z
8.31567,8.31567,,163628279,2023-02-25T23:01:23.679Z
7.86566,7.86566,,169978780,2023-02-26T23:01:23.099Z
7.69784,7.69784,,172729525,2023-02-27T23:01:39.520Z
7.62547,7.62547,,171021108,2023-02-28T23:01:32.409Z
7.58028,7.58028,,176819426,2023-03-01T23:01:25.360Z
6.40792,6.40792,,179542569,2023-03-02T23:01:37.612Z
6.50969,6.50969,,170578347,2023-03-03T23:01:37.777Z
6.42976,6.42976,,171870424,2023-03-04T23:01:22.233Z
6.35012,6.35012,,172163263,2023-03-05T23:01:52.296Z
6.15951,6.15951,,176048616,2023-03-06T23:01:38.530Z
6.30549,6.30549,,174320772,2023-03-07T23:01:21.834Z
6.59832,6.59832,,176772247,2023-03-08T23:01:32.105Z
6.81713,6.81713,,163711013,2023-03-09T23:01:36.672Z
6.64993,6.64993,,162701983,2023-03-10T23:01:14.673Z
6.52914,6.52914,,167302324,2023-03-11T23:01:29.798Z
6.50689,6.50689,,180735715,2023-03-12T23:01:45.742Z
6.47424,6.47424,,194157874,2023-03-13T23:01:32.060Z
6.3733,6.3733,,197100485,2023-03-14T23:01:35.782Z
6.31166,6.31166,,193097923,2023-03-15T23:01:26.616Z
11.74529,11.74529,,195830709,2023-03-16T23:01:33.042Z
11.68056,11.68056,,209303423,2023-03-17T23:01:29.006Z
11.57252,11.57252,,211460512,2023-03-18T23:01:35.582Z
11.20754,11.20754,,219355625,2023-03-19T23:01:28.902Z
10.95313,10.95313,,214622829,2023-03-20T23:01:29.854Z
10.80056,10.80056,,220303740,2023-03-21T23:01:19.214Z
10.58947,10.58947,,215448712,2023-03-22T23:01:33.588Z
6.66204,6.66204,,225895847,2023-03-23T23:01:32.158Z
6.55659,6.55659,,218890020,2023-03-24T23:01:15.515Z
6.53368,6.53368,,218969098,2023-03-25T23:01:11.071Z
6.45273,6.45273,,223562745,2023-03-26T23:01:29.616Z
6.39873,6.39873,,215395552,2023-03-27T23:01:24.976Z
6.38727,6.38727,,223221481,2023-03-28T23:01:30.614Z
6.35001,6.35001,,228176715,2023-03-29T23:01:29.209Z
5.63818,5.63818,,228575609,2023-03-30T23:01:39.182Z
5.55214,5.55214,,234282650,2023-03-31T23:01:31.742Z
5.59268,5.59268,,234109380,2023-04-01T23:01:38.104Z
5.65722,5.65722,,229897946,2023-04-02T23:01:21.392Z
5.63221,5.63221,,231875995,2023-04-03T23:01:38.530Z
5.60996,5.60996,,239833791,2023-04-04T23:01:44.658Z
5.48693,5.48693,,246067897,2023-04-05T23:01:28.269Z
5.62061,5.62061,,242341795,2023-04-06T23:01:28.732Z
5.60859,5.60859,,243048390,2023-04-07T23:01:42.269Z
5.62348,5.62348,,242230883,2023-04-08T23:01:48.295Z
5.65554,5.65554,,245129422,2023-04-09T23:01:26.790Z
5.63586,5.63586,,250815773,2023-04-10T23:01:34.047Z
5.69222,5.69222,,249340859,2023-04-11T23:01:48.150Z
5.62088,5.62088,,252899665,2023-04-12T23:01:35.503Z
5.27667,5.27667,,270459507,2023-04-13T23:01:34.432Z
5.16048,5.16048,,290999260,2023-04-14T23:01:43.527Z
5.04176,5.04176,,290164748,2023-04-15T23:01:39.423Z
5.02414,5.02414,,299837543,2023-04-16T23:01:44.370Z
4.82348,4.82348,,305484568,2023-04-17T23:02:05.179Z
4.83073,4.83073,,310898926,2023-04-18T23:01:40.401Z
4.84494,4.84494,,297336596,2023-04-19T23:01:39.192Z
5.43381,5.43381,,295594309,2023-04-20T23:01:41.147Z
