APY,APY_BASE,APY_REWARD,TVL,DATE
3.6,3.6,,11074372760,2022-05-03T00:00:00.000Z
3.6,3.6,,11744709791,2022-05-04T00:00:00.000Z
3.6,3.6,,11008298772,2022-05-05T00:00:00.000Z
3.5,3.5,,10974211995,2022-05-06T00:00:00.000Z
3.5,3.5,,10736517627,2022-05-07T00:00:00.000Z
3.6,3.6,,10375445969,2022-05-08T00:00:00.000Z
3.5,3.5,,9406769875,2022-05-09T00:00:00.000Z
3.6,3.6,,9506069560,2022-05-10T00:00:00.000Z
3.6,3.6,,8714550420,2022-05-11T00:00:00.000Z
3.6,3.6,,7857787286,2022-05-12T00:00:00.000Z
3.6,3.6,,8459868374,2022-05-13T00:00:00.000Z
3.6,3.6,,8307436489,2022-05-14T00:00:00.000Z
3.7,3.7,,8869252957,2022-05-15T00:00:00.000Z
3.7,3.7,,8406513502,2022-05-16T00:00:00.000Z
3.7,3.7,,8601108016,2022-05-17T00:00:00.000Z
3.8,3.8,,8072321130,2022-05-18T00:00:00.000Z
3.8,3.8,,8305322669,2022-05-19T00:00:00.000Z
3.8,3.8,,8110663532,2022-05-20T00:00:00.000Z
3.8,3.8,,8093785039,2022-05-21T00:00:00.000Z
3.9,3.9,,8299480469,2022-05-22T00:00:00.000Z
3.9,3.9,,8130648910,2022-05-23T00:00:00.000Z
4,4,,8144177342,2022-05-24T00:00:00.000Z
4,4,,8076696769,2022-05-25T00:00:00.000Z
4,4,,7549047867,2022-05-26T00:00:00.000Z
4,4,,7162858310,2022-05-27T00:00:00.000Z
4,4,,7329191226,2022-05-28T00:00:00.000Z
4,4,,7403372675,2022-05-29T00:00:00.000Z
4,4,,8190730072,2022-05-30T00:00:00.000Z
4,4,,8040565588,2022-05-31T00:00:00.000Z
4,4,,7457563960,2022-06-01T00:00:00.000Z
4,4,,7529727017,2022-06-02T00:00:00.000Z
4,4,,7361895607,2022-06-03T00:00:00.000Z
4,4,,7371970157,2022-06-04T00:00:00.000Z
4,4,,7462010533,2022-06-05T00:00:00.000Z
4,4,,7693058781,2022-06-06T00:00:00.000Z
4,4,,7602537682,2022-06-07T00:00:00.000Z
4,4,,7423014605,2022-06-08T00:00:00.000Z
4,4,,7365761144,2022-06-09T00:00:00.000Z
4,4,,6693572071,2022-06-10T00:00:00.000Z
4,4,,6292245541,2022-06-11T00:00:00.000Z
4,4,,6013418620,2022-06-12T00:00:00.000Z
4,4,,5020855492,2022-06-13T00:00:00.000Z
4,4,,4739191219,2022-06-14T00:00:00.000Z
4,4,,4881295771,2022-06-15T00:00:00.000Z
4,4,,4394576092,2022-06-16T00:00:00.000Z
4,4,,4282944265,2022-06-17T00:00:00.000Z
4,4,,3874088251,2022-06-18T00:00:00.000Z
3.9,3.9,,4520906774,2022-06-19T00:00:00.000Z
4,4,,4367053109,2022-06-20T00:00:00.000Z
4,4,,4507593430,2022-06-21T00:00:00.000Z
4,4,,4217562775,2022-06-22T00:00:00.000Z
4,4,,4567417615,2022-06-23T00:00:00.000Z
4,4,,5021163436,2022-06-24T00:00:00.000Z
4,4,,5081069509,2022-06-25T00:00:00.000Z
4,4,,5004523357,2022-06-26T00:00:00.000Z
3.9,3.9,,4955876828,2022-06-27T00:00:00.000Z
4,4,,4732321593,2022-06-28T00:00:00.000Z
4,4,,4539445148,2022-06-29T00:00:00.000Z
4,4,,4210439330,2022-06-30T00:00:00.000Z
3.9,3.9,,4359975792,2022-07-01T00:00:00.000Z
4,4,,4380939233,2022-07-02T00:00:00.000Z
3.9,3.9,,4409746992,2022-07-03T00:00:00.000Z
3.9,3.9,,4680798883,2022-07-04T00:00:00.000Z
3.9,3.9,,4713828842,2022-07-05T00:00:00.000Z
3.9,3.9,,4837109739,2022-07-06T00:00:00.000Z
4,4,,5106471304,2022-07-07T00:00:00.000Z
4,4,,5099925900,2022-07-08T00:00:00.000Z
4,4,,5033724248,2022-07-09T00:00:00.000Z
4,4,,4808943414,2022-07-10T00:00:00.000Z
4,4,,4591925326,2022-07-11T00:00:00.000Z
4,4,,4263669067,2022-07-12T00:00:00.000Z
3.9,3.9,,4443090874,2022-07-13T00:00:00.000Z
3.9,3.9,,4842711111,2022-07-14T00:00:00.000Z
3.9,3.9,,5139344218,2022-07-15T00:00:00.000Z
4,4,,5555425744,2022-07-16T00:00:00.000Z
3.9,3.9,,5625899824,2022-07-17T00:00:00.000Z
3.9,3.9,,6263863454,2022-07-18T00:00:00.000Z
